"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.825238095238095,1,14650.54,8,37174.51
"user.self1",3500,0.844571428571429,1,14909.03,8,37433.01
"user.self2",3500,0.84152380952381,1,15169.06,8.01,37693.06
"user.self3",3500,0.864571428571429,1,15426.53,8.01,37950.53
"user.self4",3500,0.850285714285714,1,15683.96,8.04,38208.04
"user.self5",3500,0.849428571428571,1,15942.1,8.09,38466.26
"user.self6",3500,0.848285714285714,1,16201.76,8.09,38725.96
"user.self7",3500,0.864666666666667,1,16459.56,8.1,38983.79
"user.self8",3500,0.862857142857143,1,16716.4,8.15,39240.7
"user.self9",3500,0.851619047619048,1,16975.06,8.17,39499.37
