"","training_size","accuracy","learning_speed","user_time","sys_time","elapsed_time"
"user.self",3500,0.634666666666667,0.1,247.89,0.03,247.95
"user.self1",3500,0.862571428571429,0.2,259.09,0.0399999999999998,259.45
"user.self2",3500,0.872095238095238,0.3,265.89,0.01,266.22
"user.self3",3500,0.869904761904762,0.4,260.61,0.05,261.16
"user.self4",3500,0.871523809523809,0.5,259.77,0,260.02
"user.self5",3500,0.88,0.6,253.57,0.01,253.639999999999
"user.self6",3500,0.870190476190476,0.7,254.35,0.02,254.55
"user.self7",3500,0.876666666666667,0.8,258.62,0.03,259.110000000001
"user.self8",3500,0.858952380952381,0.9,260.88,0,261.030000000001
"user.self9",3500,0.871238095238095,1,285.3,0.02,286.639999999999
